GuessWord,Max,Median,Average
sture,1229,286.0,338.9939524838013
sturt,1344,570.0,507.0362850971922
styed,1352,409.0,423.6609071274298
styes,1411,437.0,500.3723542116631
styli,1487,559.0,516.9667386609071
stylo,1497,521.0,485.2609071274298
styme,1347,407.0,425.83714902807776
stymy,1525,807.0,659.8535637149029
styre,1165,384.0,343.60950323974083
styte,1096,437.0,426.7874730021598
subah,1322,512.0,491.5818574514039
subas,1383,645.0,582.768898488121
subby,1259,940.0,681.9619870410368
suber,1256,363.0,392.8138228941685
subha,1442,512.0,571.5939524838013
succi,1410,717.0,631.3991360691144
sucks,1482,1009.0,781.4388768898488
sucky,1309,777.0,592.7321814254859
sucre,1174,304.0,332.74816414686825
sudds,1445,1102.0,801.0622030237581
sudor,1274,440.0,428.7965442764579
sudsy,1223,890.0,563.6704103671706
suede,1017,547.0,366.9753779697624
suent,1219,326.0,364.475161987041
suers,1360,416.0,477.6574514038877
suete,1104,482.0,326.08120950323973
suets,1358,482.0,504.4008639308855
suety,1284,327.0,374.3684665226782
sugan,1301,468.0,467.2069114470842
sughs,1487,964.0,753.7460043196544
sugos,1406,784.0,628.666090712743
suhur,1390,652.0,579.6825053995681
suids,1335,755.0,566.0699784017279
suint,1166,506.0,386.27300215982723
suits,1303,685.0,517.2051835853132
sujee,911,664.0,394.6107991360691
sukhs,1523,1049.0,826.0401727861771
sukuk,1585,1258.0,936.0453563714902
sulci,1185,467.0,472.1801295896328
sulfa,1474,470.0,525.486393088553
sulfo,1479,557.0,550.5226781857451
sulks,1447,867.0,694.627645788337
sulph,1216,653.0,556.194384449244
sulus,1451,944.0,723.7904967602592
sumis,1415,792.0,627.7948164146868
summa,1509,651.0,670.3386609071274
sumos,1418,810.0,648.3183585313175
sumph,1397,850.0,671.6838012958963
sumps,1484,1023.0,784.1619870410367
sunis,1341,705.0,548.4034557235422
sunks,1422,938.0,710.3248380129589
sunna,1294,539.0,512.9848812095032
sunns,1317,1015.0,678.768898488121
sunup,1251,865.0,676.6833693304536
supes,1276,581.0,509.7088552915767
supra,1377,421.0,458.3900647948164
surah,1125,328.0,383.9377969762419
sural,1261,313.0,340.9710583153348
suras,1337,428.0,453.0933045356372
surat,1197,304.0,334.71576673866093
surds,1404,646.0,570.34686825054
sured,1148,344.0,349.3002159827214
sures,1213,416.0,400.1317494600432
surfs,1430,724.0,634.2155507559395
surfy,1235,553.0,492.5183585313175
